CODE,CONTENT
BackToTheFuture,Back to the Future
BlackWidow,Black Widow
Choose,Choose
ConanTheBarbarian,Conan the Barbarian
Congratulations,Congratulations!\nThere are no more questions about this topic right now.\n\nAdditional questions are under development.
FreeGuy,Free Guy
Hercules,Hercules
InDevelopment,In development
JungleCruise,Jungle Cruise
Language,Language
MainMenu,Main menu
Movie,Movie
Music,Music
NationalTreasure,National Treasure
Play,Play
Quit,Quit
RiseOfThePlanetOfTheApes,Rise of the Planet of the Apes
Settings,Settings
Sounds,Sounds
Tenet,Tenet
TheMask,The Mask
WonderWoman,Wonder Woman
