CODE,CONTENT
BackToTheFuture,Назад в будущее
BlackWidow,Чёрная вдова
Choose,Выбрать
ConanTheBarbarian,Конан-варвар
Congratulations,Поздравляем!\nСейчас нет больше вопросов по этой теме.\n\nДополнительные вопросы в разработке.
FreeGuy,Главный герой
Hercules,Геракл
InDevelopment,В разработке
JungleCruise,Круиз по джунглям
Language,Язык
MainMenu,Главное меню
Movie,Фильмы
Music,Музыка
NationalTreasure,Сокровище нации
Play,Играть
Quit,Выход
RiseOfThePlanetOfTheApes,Восстание планеты обезъян
Settings,Настройки
Sounds,Звуки
Tenet,Довод
TheMask,Маска
WonderWoman,Чудо-женщина
